run_id,chan_id,num_train_values,num_test_values,n_predicted_anoms,normalized_pred_error,anom_scores,false_positives,false_negatives,true_positives,fp_sequences,tp_sequences,num_true_anoms,scores,spacecraft,anomaly_sequences,class
2018-05-19_15.00.10,P-1,2612,8245,4,0.08504268400239144,"[{'start_idx': 1880, 'end_idx': 2099, 'score': 2.0284713472409055}, {'start_idx': 2940, 'end_idx': 3009, 'score': 2.1372898817915145}, {'start_idx': 3010, 'end_idx': 3079, 'score': 2.163556613516779}, {'start_idx': 3290, 'end_idx': 3359, 'score': 2.1331476542631735}, {'start_idx': 3360, 'end_idx': 3429, 'score': 2.2936228235904377}, {'start_idx': 4270, 'end_idx': 4339, 'score': 0.9175092986586291}]",1,0,3,"[[3190, 3329]]","[(2130, 2349), (3540, 3679), (4520, 4589)]",3,"[{'start_idx': 1880, 'end_idx': 2099, 'score': 2.0284713472409055}, {'start_idx': 2940, 'end_idx': 3009, 'score': 2.1372898817915145}, {'start_idx': 3010, 'end_idx': 3079, 'score': 2.163556613516779}, {'start_idx': 3290, 'end_idx': 3359, 'score': 2.1331476542631735}, {'start_idx': 3360, 'end_idx': 3429, 'score': 2.2936228235904377}, {'start_idx': 4270, 'end_idx': 4339, 'score': 0.9175092986586291}]",SMAP,"[[2149, 2349], [4536, 4844], [3539, 3779]]","[contextual, contextual, contextual]"
2018-05-19_15.00.10,S-1,2558,7071,1,0.19105796480818313,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 2.269975917220566}, {'start_idx': 5110, 'end_idx': 5179, 'score': 7.345765363462041}, {'start_idx': 5180, 'end_idx': 5249, 'score': 8.138666866285874}, {'start_idx': 5250, 'end_idx': 5319, 'score': 7.9385381199071166}, {'start_idx': 5320, 'end_idx': 5389, 'score': 7.038188502422944}, {'start_idx': 5390, 'end_idx': 5406, 'score': 6.185723200952486}]",0,0,1,[],"[(5290, 5656)]",1,"[{'start_idx': 5040, 'end_idx': 5109, 'score': 2.269975917220566}, {'start_idx': 5110, 'end_idx': 5179, 'score': 7.345765363462041}, {'start_idx': 5180, 'end_idx': 5249, 'score': 8.138666866285874}, {'start_idx': 5250, 'end_idx': 5319, 'score': 7.9385381199071166}, {'start_idx': 5320, 'end_idx': 5389, 'score': 7.038188502422944}, {'start_idx': 5390, 'end_idx': 5406, 'score': 6.185723200952486}]",SMAP,"[[5300, 5747]]",[point]
2018-05-19_15.00.10,E-1,2620,8256,3,0.06767098464716095,"[{'start_idx': 1501, 'end_idx': 1751, 'score': 3.370114482430331}, {'start_idx': 4760, 'end_idx': 4829, 'score': 8.02425671004024}, {'start_idx': 4830, 'end_idx': 4899, 'score': 6.015687399374383}, {'start_idx': 5320, 'end_idx': 5389, 'score': 7.506587332861675}, {'start_idx': 5390, 'end_idx': 5459, 'score': 9.328760311602148}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.20637885751533}, {'start_idx': 5530, 'end_idx': 5599, 'score': 8.94118299461437}, {'start_idx': 5600, 'end_idx': 5669, 'score': 8.581765932295577}, {'start_idx': 5670, 'end_idx': 5715, 'score': 7.0949744870615365}]",1,0,2,"[[1751, 2001]]","[(5010, 5149), (5570, 5965)]",2,"[{'start_idx': 1501, 'end_idx': 1751, 'score': 3.370114482430331}, {'start_idx': 4760, 'end_idx': 4829, 'score': 8.02425671004024}, {'start_idx': 4830, 'end_idx': 4899, 'score': 6.015687399374383}, {'start_idx': 5320, 'end_idx': 5389, 'score': 7.506587332861675}, {'start_idx': 5390, 'end_idx': 5459, 'score': 9.328760311602148}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.20637885751533}, {'start_idx': 5530, 'end_idx': 5599, 'score': 8.94118299461437}, {'start_idx': 5600, 'end_idx': 5669, 'score': 8.581765932295577}, {'start_idx': 5670, 'end_idx': 5715, 'score': 7.0949744870615365}]",SMAP,"[[5000, 5030], [5610, 6086]]","[contextual, contextual]"
2018-05-19_15.00.10,E-2,2620,8272,1,0.06881594005557673,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 3.0941837450097585}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.939148769881637}, {'start_idx': 5460, 'end_idx': 5529, 'score': 6.560282387098662}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.8247197331985445}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.402748895152173}]",0,0,1,[],"[(5570, 5919)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 3.0941837450097585}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.939148769881637}, {'start_idx': 5460, 'end_idx': 5529, 'score': 6.560282387098662}, {'start_idx': 5530, 'end_idx': 5599, 'score': 6.8247197331985445}, {'start_idx': 5600, 'end_idx': 5669, 'score': 6.402748895152173}]",SMAP,"[[5598, 6995]]",[point]
2018-05-19_15.00.10,E-3,2620,8047,1,0.017729204976301573,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 4.101989327931225}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.480692050219633}, {'start_idx': 5460, 'end_idx': 5529, 'score': 3.323905578562692}]",0,0,1,[],"[(5570, 5779)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 4.101989327931225}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.480692050219633}, {'start_idx': 5460, 'end_idx': 5529, 'score': 3.323905578562692}]",SMAP,"[[5094, 8306]]",[point]
2018-05-19_15.00.10,E-4,2620,8094,1,0.05509622631583211,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 2.032620725617332}, {'start_idx': 5390, 'end_idx': 5459, 'score': 0.8852654216762841}, {'start_idx': 5460, 'end_idx': 5529, 'score': 1.0486795194180234}, {'start_idx': 5530, 'end_idx': 5599, 'score': 1.0559542648904379}, {'start_idx': 5600, 'end_idx': 5669, 'score': 1.0728754030498278}, {'start_idx': 5670, 'end_idx': 5725, 'score': 0.869049868988597}]",0,0,1,[],"[(5570, 5975)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 2.032620725617332}, {'start_idx': 5390, 'end_idx': 5459, 'score': 0.8852654216762841}, {'start_idx': 5460, 'end_idx': 5529, 'score': 1.0486795194180234}, {'start_idx': 5530, 'end_idx': 5599, 'score': 1.0559542648904379}, {'start_idx': 5600, 'end_idx': 5669, 'score': 1.0728754030498278}, {'start_idx': 5670, 'end_idx': 5725, 'score': 0.869049868988597}]",SMAP,"[[5450, 8261]]",[point]
2018-05-19_15.00.10,E-5,2620,8034,1,0.08285122106251934,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 4.205687890657691}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.089169830194193}]",0,0,1,[],"[(5570, 5709)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 4.205687890657691}, {'start_idx': 5390, 'end_idx': 5459, 'score': 4.089169830194193}]",SMAP,"[[5600, 5920]]",[point]
2018-05-19_15.00.10,E-6,2620,8040,1,0.00847063807494421,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 15.602901137724285}, {'start_idx': 5390, 'end_idx': 5459, 'score': 12.968206099591745}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.17649006522389}]",0,0,1,[],"[(5570, 5779)]",1,"[{'start_idx': 5320, 'end_idx': 5389, 'score': 15.602901137724285}, {'start_idx': 5390, 'end_idx': 5459, 'score': 12.968206099591745}, {'start_idx': 5460, 'end_idx': 5529, 'score': 9.17649006522389}]",SMAP,"[[5610, 5675]]",[point]
2018-05-19_15.00.10,E-7,2509,8050,1,0.025006510542752908,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 9.1230057802744}, {'start_idx': 5250, 'end_idx': 5319, 'score': 8.117996497569386}, {'start_idx': 5320, 'end_idx': 5389, 'score': 8.865600126882121}, {'start_idx': 5390, 'end_idx': 5459, 'score': 8.514335944037914}, {'start_idx': 5460, 'end_idx': 5516, 'score': 6.653247799486637}]",0,0,1,[],"[(5430, 5766)]",1,"[{'start_idx': 5180, 'end_idx': 5249, 'score': 9.1230057802744}, {'start_idx': 5250, 'end_idx': 5319, 'score': 8.117996497569386}, {'start_idx': 5320, 'end_idx': 5389, 'score': 8.865600126882121}, {'start_idx': 5390, 'end_idx': 5459, 'score': 8.514335944037914}, {'start_idx': 5460, 'end_idx': 5516, 'score': 6.653247799486637}]",SMAP,"[[5394, 5674]]",[point]
2018-05-19_15.00.10,E-8,2620,8272,1,0.06826617166365764,"[{'start_idx': 5460, 'end_idx': 5529, 'score': 2.4587428955139123}, {'start_idx': 5530, 'end_idx': 5599, 'score': 2.8969791401437726}, {'start_idx': 5600, 'end_idx': 5669, 'score': 2.6943025203474305}]",0,0,1,[],"[(5710, 5919)]",1,"[{'start_idx': 5460, 'end_idx': 5529, 'score': 2.4587428955139123}, {'start_idx': 5530, 'end_idx': 5599, 'score': 2.8969791401437726}, {'start_idx': 5600, 'end_idx': 5669, 'score': 2.6943025203474305}]",SMAP,"[[5400, 6022]]",[point]
